Country,Year,Undernourishment,ChildWasting,ChildStunting,ChildMortality,GHI_Score
Somalia,2016,60.2,9.9,27.1,13.0,49.4
South Africa,2016,6.4,2.5,22.2,3.7,12.9
Sri Lanka,2016,4.1,15.1,13.3,0.8,14.1
Sudan,2016,9.8,16.3,35.3,6.3,27.5
Suriname,2016,9.3,5.5,8.2,2.0,10.8
Syrian Arab Republic,2016,14.2,14.7,27.4,3.2,23.7
Tajikistan,2016,13.9,3.5,19.8,2.9,15.3
Tanzania (United Rep. of),2016,21.9,4.5,34.1,5.2,24.7
Thailand,2016,7.9,5.4,12.8,1.2,10.4
Timor-Leste,2016,15.4,12.2,49.1,5.9,30.5
Togo,2016,20.6,5.7,25.1,7.3,24.7
Trinidad & Tobago,2016,7.0,4.8,8.4,2.2,9.7
Tunisia,2016,2.8,2.1,8.7,1.8,6.1
Türkiye,2016,1.25,1.9,7.2,1.3,2.5
Turkmenistan,2016,3.4,4.2,9.7,4.3,10.2
Uganda,2016,35.4,4.6,28.7,5.2,29.1
Ukraine,2016,1.25,7.1,16.5,0.9,9.7
United Arab Emirates,2016,3.5,1.0,1.600000023841858,0.7,2.5
Uruguay,2016,1.25,0.8,7.7,0.8,2.5
Uzbekistan,2016,1.25,1.8,10.0,1.8,5.7
Venezuela (Boliv. Rep. of),2016,17.4,3.5,11.3,2.4,14.2
Viet Nam,2016,7.7,6.1,22.8,2.2,14.1
Zambia,2016,33.4,6.2,36.5,5.9,31.7
Zimbabwe,2016,32.8,3.3,26.3,5.7,27.2
Afghanistan,2025,28.1,3.6,42.0,5.6,29.0
Albania,2025,5.4,3.8,7.4,0.9,7.0
Algeria,2025,1.25,3.7,8.9,2.2,7.1
Angola,2025,22.5,5.1,47.7,6.4,29.7
Argentina,2025,3.4,2.7,10.7,1.0,6.4
Armenia,2025,1.25,3.2,6.2,1.0,2.5
Azerbaijan,2025,1.25,3.5,6.8,1.9,5.6
Bangladesh,2025,10.4,10.7,25.1,3.1,19.2
Belarus,2025,1.25,1.3,1.1,0.2,2.5
Benin,2025,14.3,8.3,33.2,7.8,25.9
Bolivia (Plurinat. State of),2025,21.8,1.4,10.7,2.3,14.6
Bosnia & Herzegovina,2025,1.25,3.1,7.9,0.6,2.5
Botswana,2025,24.0,5.4,21.0,4.0,21.8
Brazil,2025,1.25,3.4,8.9,1.4,6.4
Bulgaria,2025,1.25,4.3,5.5,0.6,2.5
Burkina Faso,2025,13.1,9.8,19.5,7.7,22.9
Cabo Verde,2025,13.5,2.5,5.3,1.2,9.4
Cambodia,2025,5.2,9.6,22.0,2.3,14.9
Cameroon,2025,4.8,4.0,27.2,6.7,17.1
Central African Republic,2025,29.8,5.2,38.9,9.2,33.4
Chad,2025,32.0,7.8,31.5,10.1,34.8
Chile,2025,2.5,0.4,1.7,0.7,2.5
China,2025,1.25,1.6,4.5,0.6,2.5
Colombia,2025,3.9,1.0,11.6,1.2,6.1
Comoros,2025,15.4,5.1,17.4,4.0,17.2
